Code,Name
425040,티이엠씨
389470,인벤티지랩
084440,유비온
383930,디티앤씨알오
405100,큐알티
417840,저스템
441270,파인엠텍
397030,에이프릴바이오
310210,보로노이
412350,레이저쎌
148780,비플라이소프트
146320,비씨엔씨
370090,퓨런티어
199800,툴젠
377480,마음AI
222160,바이옵트로
311320,지오엘리먼트
348370,엔켐
382800,지앤비에스 에코
114840,아이패밀리에스씨
261780,차백신연구소
382840,원준
383310,에코프로에이치엔
252990,샘씨엔에스
352480,씨앤씨인터내셔널
361610,SK아이이테크놀로지
059270,해성티피씨
334970,프레스티지바이오로직스
322310,오로스테크놀로지
239890,피엔에이치테크
950210,프레스티지바이오파마
163730,핑거
236810,엔비티
368770,파이버프로
356860,티엘비
299030,하나기술
330860,네패스아크
126340,비나텍
347770,핌스
032300,한국파마
262260,에이프로
330350,위더스제약
297890,HB솔루션
353200,대덕전자
198080,엔피디
302550,리메드
297090,씨에스베어링
216080,제테마
272110,케이엔제이
300120,라온피플
282880,코윈테크
317330,덕산테코피아
148150,세경하이테크
323280,태성
305090,마이크로디지탈
003670,포스코퓨처엠
307950,현대오토에버
192650,드림텍
309930,오하임앤컴퍼니
285490,노바텍
290650,엘앤씨바이오
197140,디지캡
173130,오파스넷
089970,에이피티씨
086820,바이오솔루션
253590,네오셈
226400,오스테오닉
255220,SG
263920,휴엠앤씨
259630,엠플러스
171090,선익시스템
263600,덕우전자
263860,지니언스
238490,힘스
251630,브이원텍
161580,필옵틱스
264850,이랜시스
267260,HD현대일렉트릭
166090,하나머티리얼즈
145720,덴티움
083500,에프엔에스테크
206650,유바이오로직스
196300,애니젠
237880,클리오
241690,유니테크노
016740,두올
195870,해성디에스
211270,AP위성
232140,와이아이케이
013310,아진산업
047920,HLB제약
222040,코스맥스엔비티
212560,네오오토
226340,본느
222080,씨아이에스
224110,에이텍모빌리티
222800,심텍
214430,아이쓰리시스템
214450,파마리서치
217500,러셀
214150,클래시스
187220,디티앤씨
084650,랩지노믹스
196170,알테오젠
204620,글로벌텍스프리
203650,드림시큐리티
203690,스피어파워
200880,서연이화
059120,아진엑스텍
192820,코스맥스
053300,한국정보인증
131970,두산테스나
170920,엘티씨
119850,지엔씨에너지
180640,한진칼
099190,아이센스
046970,우리로
137400,피엔티
147830,제룡산업
122870,와이지엔터테인먼트
090360,로보스타
078520,에이블씨엔씨
121600,나노신소재
093320,케이아이엔엑스
131290,티에스이
900140,엘브이엠씨홀딩스
033170,시그네틱스
122690,서진오토모티브
101330,모베이스
082920,비츠로셀
103230,에스앤더블류
071970,STX중공업
071670,에이테크솔루션
101490,에스앤에스텍
086900,메디톡스
026940,부국철강
101390,아이엠
094840,슈프리마에이치큐
047560,이스트소프트
064480,브리지텍
059210,메타바이오메드
100840,SNT에너지
096350,대창솔루션
092070,디엔에프
093640,케이알엠
092200,디아이씨
094940,푸른기술
092600,앤씨앤
001780,알루코
091580,상신이디피
091120,이엠텍
093520,매커스
089010,켐트로닉스
090470,제이스텍
093370,후성
089890,코세스
089790,제이티
038060,루멘스
039290,인포뱅크
068760,셀트리온제약
079370,제우스
084370,유진테크
077360,덕산하이메탈
083930,아바코
083310,엘오티베큠
084690,대상홀딩스
073240,금호타이어
066910,손오공
049950,미래컴퍼니
052460,아이크래프트
073010,케이에스피
078600,대주전자재료
051360,토비스
023810,인팩
077500,유니퀘스트
067160,아프리카TV
065510,휴비츠
037270,YG PLUS
041520,이라이콤
072130,유엔젤
011500,한농화성
064090,웨스트라이즈
058430,포스코스틸리온
036010,아비코전자
051160,지어소프트
053980,오상자이엘
060590,씨티씨바이오
060370,LS마린솔루션
053270,구영테크
043260,성호전자
044490,태웅
035900,JYP Ent.
053060,세동
